title,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Illuminata,1998,7,21,3,8,19
The Impostors,1998,7,21,12,21,5
Jack Frost,1998,4,11,6,5,18
Jane Austen's Mafia!,1998,4,11,1,18,2
Judas Kiss,1998,9,7,10,9,7
Killer Flick,1998,9,7,21,5,37
Knock Off,1998,6,20,19,11,2
Krippendorf's Tribe,1998,14,3,6,5,1
The Last Days of Disco,1998,10,17,6,18,2
Les Misérables,1998,3,14,17,5,2
Lethal Weapon 4,1998,20,2,12,8,2
The Lion King II: Simba's Pride,1998,19,13,9,9,12
Living Out Loud,1998,21,0,1,11,2
Lost In Space,1998,12,22,16,0,2
Lulu on the Bridge,1998,0,17,6,14,44
Madeline,1998,1,15,3,18,18
Major League: Back to the Minors,1998,8,21,7,18,29
The Man in the Iron Mask,1998,14,16,6,5,2
The Mask of Zorro,1998,21,4,16,18,2
Meet Joe Black,1998,3,14,12,18,2
Meet the Deedles,1998,19,13,11,18,2
Mercury Rising,1998,16,4,6,5,2
Mighty Joe Young,1998,19,4,3,0,5
The Mighty,1998,2,13,20,18,2
The Mighty Kong,1998,11,12,19,18,16
Montana,1998,14,16,12,6,26
Monument Ave.,1998,20,2,4,1,5
Mulan,1998,12,22,4,5,18
Music from Another Room,1998,0,3,12,18,2
My Giant,1998,7,21,1,5,5
The Naked Man,1998,3,14,16,7,26
The Negotiator,1998,20,2,16,5,2
New Rose Hotel,1998,21,5,0,2,41
The Newton Boys,1998,13,18,6,18,28
Next Stop Wonderland,1998,10,0,15,9,38
A Night at the Roxbury,1998,4,11,6,18,2
No Looking Back,1998,15,9,6,18,2
The Object of My Affection,1998,0,3,1,18,2
October 22,1998,11,12,3,8,14
The Odd Couple II,1998,22,3,6,18,2
One Tough Cop,1998,5,6,7,4,20
One True Thing,1998,15,9,18,16,29
The Opposite of Sex,1998,14,16,6,18,2
Out of Sight,1998,7,21,11,18,31
Outside Ozona,1998,8,8,21,17,3
Overnight Delivery,1998,21,3,8,4,2
Palmetto,1998,3,14,15,18,19
The Parent Trap,1998,4,3,10,6,18
Patch Adams,1998,1,15,10,18,2
Pecker,1998,12,22,1,18,2
The Pentagon Wars,1998,2,13,8,7,2
A Perfect Murder,1998,13,18,6,18,2
Permanent Midnight,1998,10,21,7,11,37
Phantoms,1998,9,7,18,18,33
Phoenix,1998,5,6,17,6,2
Pi,1998,19,17,6,18,26
The Players Club,1998,10,17,6,18,2
Playing by Heart,1998,3,14,16,13,35
Pleasantville,1998,4,3,20,11,42
Poodle Springs,1998,7,21,12,18,5
Practical Magic,1998,21,5,20,5,37
A Price Above Rubies,1998,11,12,1,18,36
Primary Colors,1998,10,3,10,18,2
The Prince of Egypt,1998,14,16,20,0,30
Psycho,1998,15,9,6,11,26
Quest for Camelot,1998,19,13,20,5,2
The Rat Pack,1998,18,10,6,18,2
The Replacement Killers,1998,6,20,6,18,25
Restaurant,1998,8,0,7,18,13
Return to Paradise,1998,0,17,16,6,37
Ride,1998,1,15,20,22,35
Ringmaster,1998,12,9,2,18,31
Ronin,1998,16,4,6,6,2
Rounders,1998,8,8,20,18,2
Rudolph the Red-Nosed Reindeer: The Movie,1998,10,17,6,18,37
The Rugrats Movie,1998,12,22,20,18,18
Rush Hour,1998,19,4,6,18,2
Rushmore,1998,1,15,7,18,2
Saving Private Ryan,1998,6,4,16,18,2
Savior,1998,16,4,6,18,10
The Second Arrival,1998,19,13,6,18,2
Senseless,1998,0,17,6,18,2
Shadrach,1998,12,22,3,6,17
Shakespeare in Love,1998,8,8,5,2,7
The Siege,1998,19,13,16,18,2
Simon Birch,1998,4,16,6,4,16
A Simple Plan,1998,13,18,5,18,2
Since You've Been Gone,1998,1,15,14,21,41
Six Days Seven Nights,1998,0,17,22,18,2
Six-String Samurai,1998,2,13,16,18,2
Slam,1998,0,17,17,18,2
Slappy and the Stinkers,1998,1,15,8,18,2
Slums of Beverly Hills,1998,12,22,6,18,37
Small Soldiers,1998,18,10,6,18,2
Smoke Signals,1998,4,3,18,18,2
Snake Eyes,1998,6,20,6,18,25
Soldier,1998,2,13,6,18,2
Sour Grapes,1998,13,18,9,18,2
Species II,1998,14,16,6,5,2
Sphere,1998,19,4,9,18,17
Spice World,1998,11,12,21,18,18
Star Trek: Insurrection,1998,14,16,21,18,18
Stepmom,1998,12,3,6,18,2
Strangeland,1998,16,3,6,18,37
Suicide Kings,1998,13,4,11,18,2
Tarzan and the Lost City,1998,7,17,8,18,5
There's Something About Mary,1998,21,5,6,0,29
Thick as Thieves,1998,11,12,11,20,6
The Thin Red Line,1998,2,13,8,5,2
The Truman Show,1998,4,11,21,11,2
Twilight,1998,16,4,10,14,10
U.S. Marshals,1998,6,20,6,18,2
Urban Legend,1998,22,19,16,18,26
Vampires,1998,6,20,11,12,2
Very Bad Things,1998,16,4,12,15,2
The Waterboy,1998,8,8,9,18,2
The Wedding Singer,1998,0,17,22,4,2
What Dreams May Come,1998,19,3,16,18,2
Why Do Fools Fall in Love,1998,21,5,21,22,37
Wide Awake,1998,1,15,18,18,2
Wild Things,1998,16,20,6,18,2
Woo,1998,10,17,20,18,20
Wrongfully Accused,1998,19,4,11,18,21
The X-Files,1998,16,14,8,0,2
Your Friends & Neighbors,1998,10,0,6,18,16
You've Got Mail,1998,10,0,20,18,36
Zero Effect,1998,15,9,5,3,4
10 Things I Hate About You,1999,0,3,13,18,37
The 13th Warrior,1999,6,20,21,5,44
200 Cigarettes,1999,10,21,8,15,32
The 4th Floor,1999,20,2,17,6,16
8mm,1999,11,12,16,10,2
The Adventures of Elmo in Grouchland,1999,20,2,8,14,5
American Beauty,1999,14,3,6,18,2
American Pie,1999,1,15,6,18,2
Analyze This,1999,6,20,10,7,2
Angel's Dance,1999,6,20,18,6,17
Animal Farm,1999,11,12,8,18,2
Anna and the King,1999,3,14,6,18,2
Annie,1999,0,17,10,18,2
Any Given Sunday,1999,8,8,20,22,2
Anywhere but Here,1999,21,5,17,18,45
Arlington Road,1999,14,4,21,18,2
The Astronaut's Wife,1999,0,17,21,13,2
At First Sight,1999,4,11,20,18,2
Atomic Train,1999,19,21,2,5,2
Austin Powers: The Spy Who Shagged Me,1999,19,13,11,18,2
Baby Geniuses,1999,19,17,14,7,10
The Bachelor,1999,12,3,21,18,2
Bats,1999,6,20,16,18,2
Being John Malkovich,1999,19,13,21,5,0
Beowulf,1999,6,9,21,14,2
Best Laid Plans,1999,13,3,21,17,32
The Best Man,1999,10,17,6,18,2
Bicentennial Man,1999,12,22,18,18,2
Big Daddy,1999,4,11,14,20,21
The Big Kahuna,1999,10,21,6,18,2
Black and White,1999,0,17,11,5,2
The Blair Witch Project,1999,0,17,1,8,37
Blast from the Past,1999,18,10,21,18,2
Blue Streak,1999,20,2,17,0,2
The Bone Collector,1999,16,20,6,18,18
The Boondock Saints,1999,6,20,11,18,44
Bowfinger,1999,11,12,20,18,2
Boys Don't Cry,1999,16,4,20,18,13
Breakfast of Champions,1999,22,19,22,3,10
Bringing Out the Dead,1999,3,14,21,18,2
Brokedown Palace,1999,20,2,16,18,2
But I'm a Cheerleader,1999,12,3,5,20,2
Chill Factor,1999,6,20,11,0,2
Chutney Popcorn,1999,15,0,17,18,13
The Cider House Rules,1999,0,17,6,13,2
Coming Soon,1999,1,15,0,13,15
The Corruptor,1999,10,4,21,5,2
Cradle Will Rock,1999,8,8,16,18,2
Crazy in Alabama,1999,5,4,17,22,2
Cruel Intentions,1999,21,3,11,6,37
Deep Blue Sea,1999,6,4,1,20,2
The Deep End of the Ocean,1999,12,22,6,10,41
Deterrence,1999,2,13,6,18,2
Detroit Rock City,1999,15,9,6,18,2
Deuce Bigalow: Male Gigolo,1999,13,18,11,18,2
Dick,1999,18,10,16,18,2
A Dog of Flanders,1999,12,16,6,18,2
Dogma,1999,6,20,16,4,2
Double Jeopardy,1999,16,6,20,18,2
Drop Dead Gorgeous,1999,15,4,16,18,2
Dudley Do-Right,1999,19,13,13,5,2
EDtv,1999,0,17,20,13,2
Election,1999,1,15,6,18,2
End of Days,1999,6,20,7,18,2
Entropy,1999,11,12,0,16,18
eXistenZ,1999,16,20,6,18,2
Eye of the Beholder,1999,5,6,11,18,17
Eyes Wide Shut,1999,0,17,6,18,30
Fight Club,1999,17,1,8,18,2
Flawless,1999,13,18,21,0,2
For Love of the Game,1999,7,21,11,3,2
Forces of Nature,1999,14,16,1,4,14
Friends & Lovers,1999,4,11,7,5,33
Galaxy Quest,1999,19,13,6,5,2
The General's Daughter,1999,5,6,6,18,2
Ghost Dog: The Way of the Samurai,1999,6,20,6,19,2
"Girl, Interrupted",1999,4,11,21,11,2
Gloria,1999,21,5,6,18,16
Go,1999,22,19,18,13,2
The Green Mile,1999,5,6,11,18,2
Guinevere,1999,10,0,22,20,0
"Happy, Texas",1999,7,4,9,5,17
The Haunting,1999,18,10,21,18,2
Heaven or Vegas,1999,7,21,16,0,44
Held Up,1999,3,14,2,5,30
House on Haunted Hill,1999,16,4,19,7,25
The Hurricane,1999,5,6,10,18,26
An Ideal Husband,1999,21,5,12,18,32
Idle Hands,1999,7,19,20,18,18
In Dreams,1999,5,6,11,4,45
In Too Deep,1999,20,2,21,12,2
The Insider,1999,19,21,13,7,18
Inspector Gadget,1999,20,2,13,18,2
Instinct,1999,6,20,8,0,22
The Iron Giant,1999,2,13,16,18,2
Jakob the Liar,1999,2,13,13,5,37
Jawbreaker,1999,1,15,6,18,2
Joe the King,1999,1,15,10,18,37
Just the Ticket,1999,7,21,14,14,9
The King and I,1999,21,5,15,6,0
Kiss the Sky,1999,21,5,1,6,18
Kiss Toledo Goodbye,1999,12,22,21,1,38
Lake Placid,1999,2,4,21,18,2
Liberty Heights,1999,4,11,21,18,13
Life,1999,10,3,11,18,2
Light It Up,1999,1,15,13,18,2
The Limey,1999,16,19,6,18,44
Lost & Found,1999,21,3,12,5,18
Lovers Lane,1999,22,19,8,8,26
Lycanthrope,1999,2,21,1,3,11
Magnolia,1999,13,18,20,18,2
Man on the Moon,1999,10,17,16,5,2
The Mating Habits of the Earthbound Human,1999,21,5,4,6,40
The Matrix,1999,9,7,16,18,2
Message in a Bottle,1999,0,17,11,18,2
The Messenger: The Story of Joan of Arc,1999,2,13,20,5,2
Mickey Blue Eyes,1999,6,20,1,18,18
A Midsummer Night's Dream,1999,8,8,10,5,19
Miss Julie,1999,3,14,12,22,43
The Mod Squad,1999,5,6,13,10,38
Mumford,1999,7,21,12,7,28
The Mummy,1999,9,4,11,18,37
Muppets from Space,1999,19,13,21,18,2
The Muse,1999,18,10,13,18,2
Music of the Heart,1999,1,15,10,18,2
My Favorite Martian,1999,19,13,17,18,2
"Mystery, Alaska",1999,8,8,6,18,2
Mystery Men,1999,19,13,2,18,2
Never Been Kissed,1999,1,15,10,18,2
The Ninth Gate,1999,16,6,5,5,18
Ninth Street,1999,8,8,21,16,4
Notting Hill,1999,0,17,20,18,2
October Sky,1999,4,11,20,18,37
Office Space,1999,13,18,6,18,2
The Omega Code,1999,19,13,18,18,2
One Man's Hero,1999,17,1,20,18,32
The Other Sister,1999,15,9,18,11,2
"Our Friend, Martin",1999,10,3,11,18,2
P.U.N.K.S.,1999,1,15,16,18,2
Passport to Paris,1999,7,21,1,18,2
Payback,1999,6,20,8,5,26
Play It to the Bone,1999,17,1,16,18,2
Pushing Tin,1999,10,21,6,18,2
The Rage: Carrie 2,1999,16,3,21,18,2
Random Hearts,1999,0,17,20,14,2
Ravenous,1999,6,20,16,18,37
Retro Puppet Master,1999,16,20,20,5,2
Rites of Passage,1999,14,16,14,6,4
Runaway Bride,1999,10,0,20,5,2
She's All That,1999,1,15,6,19,2
Simply Irresistible,1999,15,9,20,4,3
The Sixth Sense,1999,15,9,6,22,2
Sleepy Hollow,1999,14,16,19,0,2
A Slipping-Down Life,1999,7,21,17,20,14
Snow Falling on Cedars,1999,5,6,8,18,2
"South Park: Bigger, Longer & Uncut",1999,15,3,20,18,2
Speedway Junky,1999,13,3,4,18,25
Star Wars: Episode I – The Phantom Menace,1999,2,13,5,18,2
Stigmata,1999,4,11,13,18,28
Stir of Echoes,1999,18,3,6,18,2
Storm,1999,19,13,18,18,20
The Story of Us,1999,21,3,10,3,1
The Straight Story,1999,0,17,8,18,2
Stuart Little,1999,12,22,16,11,2
Summer of Sam,1999,14,16,13,18,2
Superstar,1999,1,15,15,11,2
Sweet and Lowdown,1999,8,8,6,18,25
The Talented Mr. Ripley,1999,20,2,6,18,2
Tarzan,1999,19,13,1,18,18
Teaching Mrs. Tingle,1999,1,3,12,8,21
That Championship Season,1999,1,15,22,18,20
Thicker than Water,1999,7,21,9,1,17
The Thirteenth Floor,1999,5,6,19,18,25
The Thirteenth Year,1999,15,9,5,18,2
The Thomas Crown Affair,1999,0,17,6,18,2
Three Kings,1999,9,7,20,5,2
Three to Tango,1999,21,3,18,5,2
Titus,1999,14,16,20,5,37
Toy Story 2,1999,8,8,20,18,29
True Crime,1999,5,6,20,18,26
Tumbleweeds,1999,15,3,6,18,25
Twin Falls Idaho,1999,10,0,21,18,34
Universal Soldier: The Return,1999,6,1,16,18,32
Varsity Blues,1999,8,8,16,18,2
The Virgin Suicides,1999,18,10,6,18,2
Virus,1999,2,13,16,18,2
The Waiting Game,1999,9,7,21,14,30
Wakko's Wish,1999,19,13,6,18,2
A Walk on the Moon,1999,15,9,2,18,18
Walking Across Egypt,1999,11,3,22,18,30
Whiteboyz,1999,13,18,0,18,23
Wild Wild West,1999,19,13,16,5,2
Wing Commander,1999,2,1,2,18,12
Winnie the Pooh: Seasons of Giving,1999,0,17,14,18,18
A Woman Scorned,1999,12,22,18,21,20
The Wood,1999,1,15,20,18,2
 102 Dalmatians,2000,18,3,10,18,2
28 Days,2000,0,17,17,0,2
3 Strikes,2000,16,2,6,18,20
The 6th Day,2000,6,20,8,18,2
The Adventures of Rocky and Bullwinkle,2000,19,13,8,18,2
All the Pretty Horses,2000,0,11,16,2,2
Almost Famous,2000,15,9,18,18,2
American Psycho,2000,5,6,6,18,2
Animal Factory,2000,19,13,18,18,2
The Art of War,2000,5,13,6,5,2
Autumn in New York,2000,0,17,6,18,2
 Bait,2000,7,21,16,19,2
Bamboozled,2000,10,21,6,18,2
Battlefield Earth,2000,19,21,6,18,2
The Beach,2000,9,7,6,18,15
Beat,2000,11,12,20,5,32
Beautiful,2000,15,9,16,5,2
Beautiful Joe,2000,13,18,3,18,15
Bedazzled,2000,10,17,13,8,2
Before Night Falls,2000,10,21,22,6,15
Best in Show,2000,21,3,3,7,4
Big Momma's House,2000,18,10,6,18,2
The Big Tease,2000,8,8,14,8,15
Bless the Child,2000,7,3,8,18,13
Boiler Room,2000,13,11,11,1,2
Book of Shadows: Blair Witch 2,2000,9,7,17,18,2
Bounce,2000,0,17,11,4,42
Boys and Girls,2000,21,15,13,18,2
Bring It On,2000,1,15,16,18,2
The Broken Hearts Club: A Romantic Comedy,2000,9,7,18,6,5
Brother,2000,2,13,18,18,13
 Cast Away,2000,19,21,5,18,18
Cecil B. Demented,2000,11,12,21,7,2
The Cell,2000,3,4,21,18,18
Center Stage,2000,8,3,3,6,2
Charlie's Angels,2000,3,14,6,18,2
Cherry Falls,2000,1,15,6,18,2
Chinese Coffee,2000,13,18,2,6,18
Chocolat,2000,15,9,21,18,2
Chuck & Buck,2000,8,8,10,5,18
The Contender,2000,18,17,6,18,2
Coyote Ugly,2000,10,17,20,18,2
The Crew,2000,3,14,9,8,37
The Crossing,2000,2,13,16,18,2
 Digimon: The Movie,2000,19,13,6,18,2
Dinosaur,2000,2,13,1,18,10
Down to You,2000,21,5,10,18,2
Dr. T & the Women,2000,7,3,6,17,19
Dracula 2000,2000,19,13,16,18,2
Drowning Mona,2000,22,19,1,18,2
"Dude, Where's My Car?",2000,22,19,6,18,28
Duets,2000,20,2,4,13,2
Dungeons & Dragons,2000,19,13,13,5,2
 The Emperor's New Groove,2000,19,13,22,18,20
Erin Brockovich,2000,0,17,18,6,2
An Everlasting Piece,2000,3,14,22,18,20
 The Family Man,2000,7,21,6,18,2
Finding Forrester,2000,1,15,16,18,2
The Flintstones in Viva Rock Vegas,2000,13,18,21,18,2
Frequency,2000,14,16,11,18,2
 Get Carter,2000,5,6,21,17,2
The Gift,2000,5,19,16,8,42
The Girl,2000,3,14,6,1,23
Girlfight,2000,17,1,10,18,2
Gladiator,2000,14,16,10,16,2
The Golden Bowl,2000,4,11,11,6,2
Gone in 60 Seconds,2000,22,19,7,18,2
Gossip,2000,1,3,13,5,13
Gun Shy,2000,9,7,13,18,2
Hanging Up,2000,4,11,21,0,2
Held Up,2000,3,14,2,5,30
Here on Earth,2000,21,5,16,18,12
High Fidelity,2000,21,5,6,18,2
Highlander: Endgame,2000,6,20,4,16,16
Hollow Man,2000,6,20,16,18,2
The House of Mirth,2000,0,17,6,18,2
How the Grinch Stole Christmas,2000,19,13,6,18,2
How to Kill Your Neighbor's Dog,2000,8,8,19,18,1
Icebreaker,2000,7,21,15,14,2
The In Crowd,2000,6,20,6,18,41
 Joe Gould's Secret,2000,7,0,4,18,5
 Keeping the Faith,2000,10,0,6,18,2
The Kid,2000,4,11,1,18,2
 The Ladies Man,2000,3,14,7,0,2
The Last Producer,2000,13,18,1,22,18
The Legend of Bagger Vance,2000,8,8,8,18,2
Little Nicky,2000,4,11,6,18,29
The Little Vampire,2000,12,22,16,18,2
Loser,2000,10,0,16,18,2
Lost Souls,2000,9,7,20,11,43
Love & Basketball,2000,8,8,6,18,2
Lucky Numbers,2000,16,4,6,18,28
"Me, Myself & Irene",2000,20,2,10,18,2
Meet the Parents,2000,12,22,21,17,2
Memento,2000,2,4,21,13,2
Men of Honor,2000,1,15,1,18,2
Mercy Streets,2000,7,21,3,18,22
The Million Dollar Hotel,2000,14,16,0,7,15
Miss Congeniality,2000,19,13,16,18,2
Mission to Mars,2000,19,4,1,5,17
Mission: Impossible 2,2000,6,20,7,2,2
My Dog Skip,2000,0,17,14,9,2
My 5 Wives,2000,3,3,7,18,2
 The Next Best Thing,2000,3,14,20,21,37
Next Friday,2000,0,21,6,18,2
Nothin' 2 Lose,2000,21,5,7,19,9
Nutty Professor II: The Klumps,2000,10,17,11,4,2
Nurse Betty,2000,18,10,21,5,2
" O Brother, Where Art Thou?",2000,9,7,20,5,32
The Opportunists,2000,13,18,13,11,28
Our Song,2000,1,15,3,8,23
 Panic,2000,3,11,6,0,37
Passion of Mind,2000,7,5,3,1,18
The Patriot,2000,14,16,6,18,2
Pay It Forward,2000,15,3,6,6,2
The Perfect Storm,2000,19,3,21,11,40
Picking Up the Pieces,2000,7,21,16,4,21
Pitch Black,2000,9,7,6,18,2
Pollock,2000,10,17,6,18,2
Poor White Trash,2000,14,16,20,18,2
Price of Glory,2000,14,16,18,14,44
Prince of Central Park,2000,15,9,19,5,2
Proof of Life,2000,2,13,6,18,22
Psycho Beach Party,2000,5,6,16,15,13
 Quills,2000,10,21,18,18,2
 Ready to Rumble,2000,0,17,15,18,2
Red Planet,2000,6,13,12,5,17
Reindeer Games,2000,16,19,8,13,32
Remember the Titans,2000,1,15,20,18,2
The Replacements,2000,0,17,20,18,2
Requiem for a Dream,2000,13,18,6,6,2
Return to Me,2000,18,10,11,22,2
The Road to El Dorado,2000,19,21,20,18,2
Road Trip,2000,1,15,17,18,2
Romeo Must Die,2000,6,20,2,5,2
Rugrats in Paris: The Movie,2000,15,9,1,18,2
Rules of Engagement,2000,2,2,16,18,2
 The Scarecrow,2000,21,5,20,18,10
Scary Movie,2000,16,4,6,18,2
Scream 3,2000,5,6,21,18,2
Screwed,2000,20,18,6,4,2
Seventeen Again,2000,4,3,7,5,2
Sexy Beast,2000,0,10,21,18,25
Shadow of the Vampire,2000,11,12,16,5,25
Shaft,2000,5,6,4,16,37
Shanghai Noon,2000,17,1,6,5,2
Shriek If You Know What I Did Last Friday the Thirteenth,2000,9,7,11,7,44
The Skulls,2000,4,11,16,18,2
Small Time Crooks,2000,0,17,3,18,36
The Smokers,2000,3,14,20,7,30
Snatch,2000,17,1,11,18,18
Snow Day,2000,1,15,11,15,37
Songcatcher,2000,1,15,4,6,2
Space Cowboys,2000,19,13,6,18,37
The Specials,2000,9,7,16,18,7
Supernova,2000,19,13,6,18,2
 The Tao of Steve,2000,10,17,2,18,2
Terror Tract,2000,16,19,11,9,18
Things You Can Tell Just by Looking at Her,2000,21,3,11,5,32
Thirteen Days,2000,2,4,6,5,2
Thomas & the Magic Railroad,2000,0,17,14,5,28
Tigerland,2000,0,17,16,18,44
The Tigger Movie,2000,12,22,17,18,18
Timecode,2000,11,12,15,1,13
Titan A.E.,2000,2,13,14,5,17
Traffic,2000,16,4,10,18,2
Tripfall,2000,12,22,6,5,28
 U-571,2000,2,13,5,6,18
Unbreakable,2000,4,16,21,18,2
Under Suspicion,2000,5,6,1,19,15
Up at the Villa,2000,0,17,18,6,2
Urban Legends: Final Cut,2000,11,12,6,18,2
 Vertical Limit,2000,19,4,6,11,15
The Visit,2000,3,14,17,21,37
 Waking the Dead,2000,11,21,21,18,2
The Watcher,2000,0,17,8,5,35
The Way of the Gun,2000,13,18,11,12,2
What Lies Beneath,2000,0,4,20,18,2
What Planet Are You From?,2000,0,3,6,18,2
What Women Want,2000,10,0,6,18,2
Whatever It Takes,2000,7,3,11,16,35
Where the Heart Is,2000,21,5,6,18,2
Where the Money Is,2000,1,3,20,0,0
Whipped,2000,7,21,17,18,2
The Whole Nine Yards,2000,16,4,6,18,2
Woman on Top,2000,21,5,20,18,3
Wonder Boys,2000,22,19,18,18,2
 X-Men,2000,19,13,11,5,2
 The Yards,2000,20,2,18,18,2
You Can Count on Me,2000,14,16,1,13,30
 15 Minutes,2001,20,2,8,18,2
3000 Miles to Graceland,2001,13,18,13,7,2
 A.I. Artificial Intelligence,2001,21,5,21,18,18
The Affair of the Necklace,2001,19,4,11,5,2
Ali,2001,17,1,0,18,2
All Over the Guy,2001,0,3,18,5,26
Along Came a Spider,2001,16,20,6,4,32
The Amati Girls,2001,15,9,21,21,22
America's Sweethearts,2001,11,12,6,18,2
The American Astronaut,2001,7,4,8,18,2
American Outlaws,2001,6,4,10,6,2
American Pie 2,2001,10,3,18,9,15
An American Rhapsody,2001,7,21,6,7,22
Amy's Orgasm,2001,21,5,6,18,41
Angel Eyes,2001,4,11,21,18,2
The Animal,2001,20,2,10,18,2
The Anniversary Party,2001,11,0,5,6,2
Antitrust,2001,10,21,16,10,35
Atlantis: The Lost Empire,2001,19,13,13,18,18
 Baby Boy,2001,14,16,2,7,10
Bartleby,2001,10,21,6,18,16
A Beautiful Mind,2001,10,17,6,18,2
Behind Enemy Lines,2001,2,13,2,6,2
The Believer,2001,0,17,6,5,2
Big Bad Love,2001,8,8,14,7,28
Black Hawk Down,2001,2,13,8,0,28
Black Knight,2001,17,1,6,5,2
Blow,2001,4,11,2,18,7
Bones,2001,5,3,6,18,2
The Brothers,2001,21,5,16,2,2
Bubble Boy,2001,15,9,6,18,2
Buffalo Soldiers,2001,2,4,16,5,2
Bully,2001,5,6,6,18,2
The Business of Strangers,2001,0,17,6,18,2
 Captain Corelli's Mandolin,2001,21,5,21,18,19
The Cat's Meow,2001,11,12,6,18,2
Cats & Dogs,2001,19,22,1,18,44
The Caveman's Valentine,2001,3,14,4,0,25
The Center of the World,2001,10,17,1,18,7
Corky Romano,2001,12,22,16,18,2
CQ,2001,11,12,6,18,26
Crazy/Beautiful,2001,4,11,18,14,2
Crocodile Dundee in Los Angeles,2001,11,12,19,22,2
Cruel Intentions 2,2001,1,15,21,0,2
The Curse of the Jade Scorpion,2001,21,3,20,18,2
 The Deep End,2001,13,18,22,16,2
Delivering Milo,2001,21,5,21,22,18
Den,2001,6,20,6,17,29
Domestic Disturbance,2001,14,4,6,11,44
Don't Say a Word,2001,6,4,16,18,2
Donnie Darko,2001,1,15,16,12,37
Double Take,2001,3,14,20,19,2
Down to Earth,2001,21,5,14,18,18
Dr. Dolittle 2,2001,0,17,6,18,17
Driven,2001,22,19,16,18,2
 Earth vs. the Spider,2001,2,13,16,18,2
Elvira's Haunted Hills,2001,7,3,17,12,29
Enemy at the Gates,2001,6,20,6,18,2
Escape from Hell,2001,11,12,1,17,0
Evolution,2001,2,3,6,18,2
Exit Wounds,2001,6,20,16,18,2
 The Fast and the Furious,2001,22,19,17,18,2
Festival in Cannes,2001,21,5,1,14,2
Final Fantasy: The Spirits Within,2001,19,13,20,5,2
Finder's Fee,2001,8,8,13,4,39
The Fluffer,2001,13,18,18,18,2
The Forsaken,2001,6,20,16,0,2
Frailty,2001,4,11,6,18,29
Freddy Got Fingered,2001,4,11,6,4,2
From Hell,2001,5,6,6,18,2
 Get Over It,2001,8,8,6,18,18
Ghost World,2001,10,17,6,18,2
Ghosts of Mars,2001,17,1,6,8,2
The Glass House,2001,22,19,10,17,2
Glitter,2001,10,3,10,11,12
Good Neighbor,2001,18,10,20,3,20
Gosford Park,2001,16,4,6,18,18
The Grey Zone,2001,9,7,8,6,2
 Hannibal,2001,20,2,1,18,10
Hardball,2001,8,8,18,18,44
Harry Potter and the Sorcerer's Stone,2001,1,15,7,18,2
Harvard Man,2001,4,3,16,0,13
Head Over Heels,2001,10,3,22,1,34
Heartbreakers,2001,13,18,17,18,2
Hearts in Atlantis,2001,4,3,6,18,37
Hedwig and the Angry Inch,2001,21,5,17,18,2
Heist,2001,2,4,17,18,2
How High,2001,10,17,7,18,2
How to Make a Monster,2001,2,13,11,18,2
Human Nature,2001,3,14,8,17,2
 I Am Sam,2001,4,3,20,19,2
In the Bedroom,2001,10,0,18,18,32
 Jay and Silent Bob Strike Back,2001,11,12,6,18,26
Jeepers Creepers,2001,20,2,11,5,16
Jimmy Neutron: Boy Genius,2001,19,13,6,18,37
Joe Dirt,2001,0,17,21,18,35
Joe Somebody,2001,17,1,4,18,2
Josie and the Pussycats,2001,19,4,6,18,2
Joy Ride,2001,16,19,19,18,2
Jurassic Park III,2001,9,7,1,18,18
Just Visiting,2001,19,17,18,5,2
 K-PAX,2001,0,17,8,18,2
Kate & Leopold,2001,19,17,4,2,2
Kingdom Come,2001,15,9,13,5,2
Kiss of the Dragon,2001,20,2,17,5,2
Kissing Jessica Stein,2001,10,0,2,18,2
A Knight's Tale,2001,4,11,20,18,2
Knockaround Guys,2001,13,18,21,6,7
 L.I.E.,2001,4,11,19,7,2
Lara Croft: Tomb Raider,2001,4,11,8,5,36
The Last Castle,2001,2,13,20,18,2
Legally Blonde,2001,0,17,6,18,2
Life as a House,2001,18,10,11,0,33
Lloyd,2001,8,3,20,14,5
The Lord of the Rings: The Fellowship of the Ring,2001,2,13,16,5,2
The Lost Skeleton of Cadavra,2001,2,13,14,18,36
Lovely & Amazing,2001,12,22,16,7,22
 The Majestic,2001,19,17,16,18,2
The Man Who Wasn't There,2001,13,18,17,11,2
Max Keeble's Big Move,2001,1,15,20,18,2
Megiddo: The Omega Code 2,2001,2,4,6,18,2
The Mexican,2001,22,19,6,14,2
Mockingbird Don't Sing,2001,0,3,6,18,2
Monkeybone,2001,19,13,18,5,42
Monsoon Wedding,2001,12,22,6,5,2
Monster's Ball,2001,4,11,10,18,16
"Monsters, Inc.",2001,19,13,11,18,2
Moulin Rouge!,2001,21,5,13,19,16
Mulholland Drive,2001,3,14,21,18,18
The Mummy Returns,2001,6,20,13,18,3
The Musketeer,2001,2,1,13,5,2
My First Mister,2001,15,16,6,18,2
 Not Another Teen Movie,2001,0,3,13,18,2
Novocaine,2001,20,2,17,18,2
 O,2001,16,20,20,11,2
Ocean's Eleven,2001,13,18,16,18,2
On the Line,2001,0,3,6,18,2
The One,2001,6,20,17,18,2
One Night at McCool's,2001,20,2,17,18,2
Original Sin,2001,21,3,6,18,37
